,Date,Primogem Used,Total Users
128,2023-02-04,647212.1812985797,372662
129,2023-02-05,677022.147196791,372662
130,2023-02-06,500714.70304868487,372662
131,2023-02-07,338008.41169048025,372662
132,2023-02-08,6165862.612645509,387737
133,2023-02-09,2147390.219359695,387737
134,2023-02-10,1752345.968614671,387737
135,2023-02-11,1566239.4686848202,387737
136,2023-02-12,1286658.9113369496,387737
137,2023-02-13,1122033.1639545832,387737
138,2023-02-14,1033489.4040916534,387737
139,2023-02-15,912214.6533538643,387737
140,2023-02-16,1167830.7155590104,387737
141,2023-02-17,1736282.8673702786,387737
142,2023-02-18,1172980.2244385032,387737
143,2023-02-19,973509.6626959667,387737
144,2023-02-20,842323.4285048324,387737
145,2023-02-21,695211.1001470576,387737
146,2023-02-22,686659.9012513892,387737
147,2023-02-23,680504.3689724063,387737
148,2023-02-24,691241.8093801966,387737
149,2023-02-25,681185.4898732285,387737
150,2023-02-26,685853.5167366226,387737
151,2023-02-27,708582.9909356146,387737
152,2023-02-28,390012.1765036038,387737
153,2023-03-01,91309.34558954425,387737
154,2023-03-02,1493298.1716226172,238426
155,2023-03-03,1063791.3116820462,238426
156,2023-03-04,898688.8771878676,238426
157,2023-03-05,742251.6993415906,238426
158,2023-03-06,539320.2286485903,238426
159,2023-03-07,541306.1451187854,238426
160,2023-03-08,476461.6551571944,238426
161,2023-03-09,434399.697620762,238426
162,2023-03-10,418880.3565922904,238426
163,2023-03-11,399732.50358670234,238426
164,2023-03-12,366537.2724850027,238426
165,2023-03-13,290683.89774298173,238426
166,2023-03-14,290106.21396645496,238426
167,2023-03-15,286578.43688275415,238426
168,2023-03-16,344346.8145354302,238426
169,2023-03-17,305938.03874593036,238426
170,2023-03-18,321329.9192970188,238426
171,2023-03-19,316819.4630489771,238426
172,2023-03-20,241854.20002033535,238426
173,2023-03-21,134431.7431703253,238426
174,2023-03-22,3943025.61395009,320646
175,2023-03-23,1314029.4689300517,320646
176,2023-03-24,1075762.7188594223,320646
177,2023-03-25,955092.5153485812,320646
178,2023-03-26,831300.838194854,320646
179,2023-03-27,687978.911428681,320646
180,2023-03-28,634992.2788742217,320646
181,2023-03-29,608310.5648311685,320646
182,2023-03-30,629460.8439629307,320646
183,2023-03-31,1251026.1957703258,320646
184,2023-04-01,1740060.8918245158,320646
185,2023-04-02,805489.3879431691,320646
186,2023-04-03,601964.3334910357,320646
187,2023-04-04,521148.38628952106,320646
188,2023-04-05,493428.09369984566,320646
189,2023-04-06,475890.84380301734,320646
190,2023-04-07,441221.82955610804,320646
191,2023-04-08,414455.9581354279,320646
192,2023-04-09,406453.35659018526,320646
193,2023-04-10,380840.8237765274,320646
194,2023-04-11,181867.91838693665,320646
195,2023-04-12,61471.2263533828,320646
196,2023-04-13,1988964.014345735,300734
197,2023-04-14,1448570.1482466108,300734
198,2023-04-15,1331172.1044301612,300734
199,2023-04-16,1329910.3076375814,300734
200,2023-04-17,948518.5118978234,300734
201,2023-04-18,795378.7024132996,300734
202,2023-04-19,800214.2839103289,300734
203,2023-04-20,687847.7527698805,300734
204,2023-04-21,729357.7323468907,300734
