Unnamed: 0,Date,Primogem Used,Total Users,Average Used,Primogem Supplied
578,2024-04-29,1111359.6197764724,331380,3.353731727251109,70.0
579,2024-04-30,1316421.143540775,331380,3.9725425298472294,70.0
580,2024-05-01,2597142.1728311437,331380,7.837353409472943,70.0
581,2024-05-02,1283440.4151353496,331380,3.87301712576302,70.0
582,2024-05-03,1080324.0222857662,331380,3.2600761128787683,90.0
583,2024-05-04,934008.8276443112,331380,2.818543145767129,0.0
584,2024-05-05,833788.172434196,331380,2.5161089155476977,0.0
585,2024-05-06,805288.4180665832,331380,2.430105673446144,240.0
586,2024-05-07,727801.7441330537,331380,2.1962754062799617,60.0
587,2024-05-08,732681.4489115191,331380,2.211000811489888,190.0
588,2024-05-09,700955.9839488897,331380,2.1152633953433813,90.0
589,2024-05-10,825851.5319773925,331380,2.4921586455953664,290.0
590,2024-05-11,732263.73099274,331380,2.209740270966081,90.0
591,2024-05-12,704510.8056314293,331380,2.1259907225283037,60.0
592,2024-05-13,654106.1767654137,331380,1.9738854993222696,0.0
593,2024-05-14,487261.6231964851,331380,1.4704014219219177,220.0
594,2024-05-15,749494.9184980836,176189,4.253925718961363,100.0
595,2024-05-16,450152.7927322197,176189,2.5549426623240934,80.0
596,2024-05-17,363777.6224736194,176189,2.064701102075722,100.0
597,2024-05-18,335413.414510008,176189,1.9037137080635453,40.0
598,2024-05-19,289879.084263001,176189,1.6452734521621724,0.0
599,2024-05-20,241131.83111105856,176189,1.368597535096167,0.0
600,2024-05-21,214097.3798109592,176189,1.2151574718680462,0.0
601,2024-05-22,219842.6105238253,176189,1.2477658112812111,105.0
602,2024-05-23,170484.2463213931,176189,0.9676213970304224,0.0
603,2024-05-24,325151.7321707756,176189,1.8454712392418118,405.0
604,2024-05-25,226158.29897695547,176189,1.2836119109419741,0.0
605,2024-05-26,214199.66878507545,176189,1.2157380357745118,105.0
606,2024-05-27,161940.494188473,176189,0.9191294245865123,0.0
